LastName, Field
BARBER, Samuel (3/9/1910-1/23/1981)
BEACH, Amy Marcy Cheney (9/5/1867-12/27/1944)
BENNETT, Robert Russell (6/15/1894-8/17/1981)
BERNSTEIN, Leonard (8/25/1918-10/14/1990)
BUCK, Dudley (3/10/1839-10/6/1909)
CARPENTER, John Alden (2/28/1876-4/26/1951)
CHADWICK, George Whitefield (11/13/1854-4/4/1931)
COPLAND, Aaron (11/14/1900-12/2/1990)
CRESTON, Paul (10/10/1906-8/24/1985)
DIAMOND, David (7/9/1915- )
ELLINGTON, Edward Kennedy "Duke" (4/29/1899-5/24/1974)
FOOTE, Arthur William (3/5/1853-4/8/1937)
FOSTER, Stephen Collins (7/4/1826-1/13/1864)
FRANKLIN, Benjamin (1/17/1706-4/17/1790)
GERSHWIN, George (9/26/1898-7/11/1937)
GILBERT, Henry Franklin Belknap (9/26/1868-5/19/1928)
GOTTSCHALK, Louis Moreau (5/8/1829-12/18/1869)
GRIFFES, Charles Tomlinson (9/17/1884-4/8/1920)
GROFE, Ferde Ferdinand Rudolph von (3/27/1892-4/3/1972)
HADLEY, Henry Kimball (12/20/1871-9/6/1937)
HANSON, Howard (10/28/1896-2/16/1981)
HERRMANN, Bernard (6/29/1911-12/24/1975)
IVES, Charles Edward (10/20/1874-5/19/1954)
LOEFFLER, Charles Martin Tornow (1/30/1861-5/19/1935)
MACDOWELL, Edward Alexander (12/18/1860-1/23/1908)
MASON, Daniel Gregory (11/20/1873-12/4/1953)
MENNIN, Peter (5/17/1923-6/17/1983)
PAINE, John Knowles (1/9/1839-4/25/1906)
PARKER, Horatio William (9/15/1863-12/18/1919)
PISTON, Walter Hamor (1/20/1894-11/12/1976)
PORTER, Quincy (2/7/1897-11/12/1966)
ROCHBERG, George (7/5/1918- )
RODGERS, Richard (6/28/1902-12/30/1979)
SCHUMAN, William Howard (8/4/1910-2/15/1992)
SOUSA, John Philip (11/6/1854-3/6/1932)
STILL, William Grant (5/11/1895-12/3/1978)
TAYLOR, Joseph Deems (12/22/1885-7/3/1966)
THOMPSON, Randall (4/21/1899-7/9/1984)
THOMSON, Virgil (11/25/1897-1989)
WILLIAMS, James Clifton (3/26/1923-2/12/1976)
